                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0101,                 5.2683,                 4.3296,                      0,                      0,                      0,                      0,                    6.4,                 5.4133,                 4.1903,                0.00024,                0.00024,                0.00024
                      2,                 3.2299,                 3.4539,                 3.6141,                      0,                      0,                      0,                      0,                 6.4508,                 5.4617,                 4.3024,             0.00048515,             0.00048515,             0.00048515
                      3,                  2.611,                   2.81,                  2.821,                      0,                      0,                      0,                      0,                 6.4958,                 4.9418,                  4.405,             0.00072535,             0.00072535,             0.00072535
                      4,                 2.3263,                 2.4146,                 2.3044,                0.00563,                0.23899,                0.20122,                0.10544,                 4.5195,                 3.9707,                 3.1141,              0.0009606,              0.0009606,              0.0009606
                      5,                 2.2807,                 2.1672,                  2.094,                0.99538,                0.18571,                0.35311,                0.14718,                 2.3474,                 2.3847,                 1.9828,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.1768,                 1.9748,                 1.9478,                0.70095,                0.26677,                0.57946,                0.21806,                 2.4478,                  2.251,                 1.9346,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.1353,                 1.8577,                  1.906,                 0.6154,                0.60755,                0.58808,                0.18569,                 2.4459,                 1.6325,                 1.8738,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.0852,                 1.6911,                 1.8072,                0.72894,                0.60664,                0.75016,                0.31869,                 2.1115,                 1.4541,                 1.7004,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.0046,                 1.6194,                 1.7521,                0.71959,                0.72038,                0.78115,                0.30987,                 2.1193,                 1.3606,                 1.7154,              0.0009208,              0.0009208,              0.0009208
                     10,                  1.998,                 1.5199,                 1.7183,                0.56287,                0.81869,                0.78092,                0.38607,                 1.9024,                 1.5042,                 1.6165,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.9961,                 1.5217,                 1.6807,                0.71798,                0.79741,                0.85843,                0.40719,                 1.8253,                  1.276,                 1.5419,               0.000901,               0.000901,               0.000901
                     12,                 1.9673,                 1.5286,                 1.6816,                0.69323,                 0.8517,                0.84344,                0.42386,                 1.7912,                 1.1517,                 1.5287,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.9455,                 1.4601,                 1.6499,                0.72054,                0.75379,                0.82625,                0.43629,                 1.8571,                 1.1431,                 1.5561,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.9189,                 1.3997,                 1.6381,                0.68873,                0.85043,                0.79061,                0.30165,                 1.9596,                 1.1973,                 1.6217,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.9154,                 1.3662,                 1.6642,                0.81479,                0.82429,                0.87256,                0.41271,                 1.8903,                 1.1566,                 1.5559,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.926,                 1.3804,                 1.6225,                0.77063,                0.81322,                0.83322,                0.39096,                 1.7275,                  1.062,                  1.494,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.8957,                 1.3198,                 1.6058,                0.74809,                0.83045,                0.85725,                0.42729,                 1.7473,                  1.258,                 1.5227,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.8492,                 1.3129,                 1.5711,                 0.6204,                0.80883,                0.75891,                0.30223,                  1.928,                  1.271,                 1.6488,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.9291,                 1.2785,                 1.6009,                0.89531,                0.87808,                 0.9284,                0.42777,                 1.7525,                0.97776,                 1.5396,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.8641,                 1.2399,                 1.5758,                0.72191,                0.80355,                0.81658,                0.36235,                 1.7861,                 1.1117,                 1.5321,              0.0008119,              0.0008119,              0.0008119
                     21,                  1.839,                 1.2266,                 1.5568,                0.81579,                 0.8717,                0.90038,                0.44186,                 1.8508,                0.97302,                 1.5363,               0.000802,               0.000802,               0.000802
                     22,                 1.8478,                 1.2305,                 1.5656,                0.84352,                0.86951,                0.89826,                0.44672,                 1.7794,                 1.0354,                 1.5149,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.7978,                 1.1972,                 1.5201,                0.84196,                0.85554,                0.89441,                0.42536,                 1.7432,                 0.9964,                 1.5132,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.8287,                 1.2159,                 1.5533,                0.83896,                0.87329,                0.86695,                0.38639,                 1.7714,                0.98358,                 1.5306,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.808,                 1.1764,                 1.5204,                0.73876,                0.83514,                0.88653,                0.42778,                 1.7505,                0.97357,                 1.5057,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.7889,                 1.1432,                 1.5189,                0.88769,                0.85684,                0.90921,                0.46829,                  1.716,                0.93442,                 1.5034,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.7988,                 1.1589,                 1.5073,                0.67839,                0.80223,                0.79822,                 0.3378,                 1.8598,                 1.1589,                 1.5721,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.7603,                 1.1707,                 1.4973,                0.70577,                 0.6738,                0.80053,                0.31181,                 2.0269,                 1.3218,                 1.6667,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.7485,                 1.0808,                 1.4934,                0.88835,                0.88463,                0.89555,                0.44541,                 1.7428,                0.90349,                 1.5057,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.7685,                 1.0978,                  1.509,                0.92124,                0.87936,                0.89665,                0.47225,                 1.7847,                0.85029,                  1.495,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.7474,                 1.1126,                 1.4606,                0.82664,                0.88221,                 0.8864,                0.43192,                 1.9197,                0.99171,                 1.5476,               0.000703,               0.000703,               0.000703
                     32,                 1.7615,                 1.0889,                 1.4768,                0.93009,                 0.9117,                0.94777,                0.46604,                 1.7396,                0.89114,                 1.4698,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.7735,                 1.1238,                 1.4916,                0.91621,                0.86618,                0.90279,                0.46145,                 1.6787,                0.94033,                 1.4783,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.7119,                 1.0803,                 1.4592,                0.91694,                0.86994,                0.91812,                0.46809,                 1.6933,                0.92187,                   1.46,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.7236,                 1.0646,                 1.4605,                0.90536,                0.88615,                0.91008,                0.46827,                 1.6865,                0.89413,                 1.4632,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.7148,                 1.0727,                 1.4675,                0.89533,                0.92369,                0.95013,                0.52352,                 1.6498,                0.81848,                 1.4236,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.6639,                 1.0227,                  1.442,                0.89699,                0.90687,                 0.9296,                0.51138,                 1.6443,                0.84979,                 1.4264,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.6775,                 1.0262,                 1.4477,                0.91897,                0.87741,                0.91884,                0.50168,                 1.6898,                0.86873,                 1.4378,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.7187,                 1.0117,                 1.4328,                0.89068,                0.86386,                0.87081,                0.44606,                 1.7937,                0.92262,                 1.5156,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.6598,                  1.014,                 1.4436,                0.92119,                0.89543,                0.90348,                0.48303,                 1.6683,                0.82685,                 1.4294,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.7402,                 1.0287,                 1.4495,                0.85684,                0.89826,                0.91863,                0.49501,                 1.6999,                0.87474,                 1.4344,               0.000604,               0.000604,               0.000604
                     42,                 1.7316,                 1.0276,                 1.4577,                0.86628,                 0.8908,                0.92429,                 0.4446,                 1.7216,                0.93066,                 1.4829,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.6641,                0.99518,                 1.4088,                0.83265,                0.88319,                0.92555,                0.48248,                 1.7123,                0.82213,                 1.4427,              0.0005842,              0.0005842,              0.0005842
                     44,                  1.688,                0.99029,                 1.4504,                0.92511,                0.87658,                0.90333,                0.48155,                 1.7025,                 0.8967,                 1.4615,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.6948,                 1.0238,                 1.4114,                0.85592,                0.87338,                0.92693,                0.49878,                 1.6127,                0.83243,                 1.4078,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.6945,                 1.0359,                  1.426,                0.90934,                0.87104,                0.91267,                0.49031,                 1.6257,                0.86892,                 1.4294,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.6419,                 1.0015,                 1.4328,                0.90823,                0.88592,                0.90362,                 0.4273,                 1.7823,                0.93902,                 1.5159,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.6673,                0.96335,                 1.4161,                0.92079,                0.90756,                0.92612,                0.46072,                 1.7162,                0.83688,                 1.4619,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.6583,                0.94674,                 1.4186,                0.88051,                0.90236,                0.91443,                0.49192,                  1.688,                0.82224,                  1.458,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.6625,                0.93903,                 1.4509,                0.91918,                0.89255,                0.91046,                 0.4529,                 1.8207,                0.84761,                 1.5339,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.6283,                0.92213,                 1.3996,                0.95347,                0.93682,                0.95881,                0.50944,                 1.6621,                0.75875,                 1.4155,               0.000505,               0.000505,               0.000505
                     52,                 1.6175,                0.90631,                 1.3843,                0.95139,                0.92259,                0.95933,                0.48531,                 1.6787,                0.75669,                  1.438,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.6404,                0.90656,                 1.4016,                0.93107,                0.91217,                0.93642,                0.48152,                 1.6837,                 0.7879,                 1.4431,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.5905,                 0.9035,                 1.3754,                0.90125,                0.89271,                0.92193,                0.46732,                 1.7158,                0.89905,                  1.479,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.5993,                0.89973,                 1.3732,                0.92969,                0.90248,                0.93202,                0.49939,                 1.6681,                  0.757,                 1.4384,              0.0004654,              0.0004654,              0.0004654
                     56,                  1.637,                0.89249,                 1.3934,                0.92506,                0.87846,                0.93341,                0.47294,                 1.6981,                0.80703,                 1.4597,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.6329,                0.92303,                 1.3913,                0.88908,                0.89154,                0.91968,                0.47913,                 1.6521,                0.81741,                 1.4377,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.6538,                0.91848,                  1.408,                0.90905,                0.90154,                0.93434,                0.50684,                 1.6241,                0.75977,                 1.4106,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.6022,                0.88318,                 1.3636,                0.91465,                0.90154,                0.93756,                0.50954,                 1.6189,                0.77172,                 1.4094,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.5969,                0.89363,                 1.3809,                0.93296,                0.91505,                0.95528,                0.50828,                 1.6248,                0.74543,                 1.4072,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.6456,                0.88989,                  1.387,                0.91509,                0.89951,                0.92877,                0.50219,                 1.6414,                0.76337,                 1.4037,               0.000406,               0.000406,               0.000406
                     62,                 1.6476,                0.92456,                 1.4074,                 0.9247,                0.89479,                0.92581,                0.47323,                  1.668,                0.78709,                 1.4411,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.6477,                0.91655,                 1.3923,                0.92045,                0.89899,                0.91127,                0.48953,                 1.7031,                0.81604,                 1.4482,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.6295,                0.90891,                 1.3668,                0.92799,                0.90893,                0.93591,                0.49537,                 1.6682,                0.75834,                 1.4377,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.5935,                0.90691,                 1.3788,                0.94916,                0.92013,                0.95896,                0.51866,                 1.6283,                0.73095,                 1.3952,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.5872,                0.85262,                 1.3724,                0.91862,                0.89775,                0.91708,                0.46536,                 1.7219,                0.78285,                 1.4734,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.6076,                0.86192,                 1.3623,                0.88767,                0.93533,                0.92916,                0.47487,                 1.6679,                0.76703,                 1.4481,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.6383,                0.89537,                 1.4058,                0.90997,                0.89784,                 0.9276,                0.50604,                 1.6353,                0.78108,                  1.429,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.5801,                0.87573,                  1.369,                0.92156,                0.90103,                0.93706,                0.49263,                 1.6994,                0.75517,                 1.4413,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.5926,                 0.8663,                 1.3637,                 0.9046,                 0.9122,                0.93122,                0.51685,                 1.6091,                0.76794,                 1.4075,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.5897,                0.87205,                 1.3775,                0.92488,                0.94267,                0.95039,                0.52292,                 1.6406,                0.75412,                 1.4049,               0.000307,               0.000307,               0.000307
                     72,                 1.5958,                0.86188,                 1.3679,                0.92546,                0.92994,                0.94106,                 0.4947,                 1.6253,                0.73707,                 1.4053,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.5507,                0.84096,                 1.3595,                0.95444,                0.93446,                0.94902,                0.50955,                 1.7124,                0.74625,                 1.4351,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.5695,                0.83981,                 1.3668,                0.94626,                 0.9403,                0.94878,                 0.4926,                 1.6687,                0.74972,                 1.4259,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.5789,                0.83914,                 1.3671,                0.89166,                0.92524,                0.91923,                0.47324,                 1.7018,                0.79709,                 1.4572,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.5875,                0.85331,                 1.3712,                 0.9321,                0.93815,                0.95449,                0.51674,                 1.6981,                0.75851,                 1.4153,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.5921,                0.84777,                 1.3782,                0.89022,                0.90501,                0.90928,                0.45659,                 1.7034,                 0.7818,                 1.4591,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.5565,                 0.8385,                 1.3502,                0.91867,                 0.9241,                0.92586,                0.50213,                 1.6699,                 0.7312,                 1.4137,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.5623,                0.82108,                 1.3325,                0.90194,                0.92342,                  0.934,                0.51115,                  1.622,                0.72303,                 1.3988,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.5644,                0.81969,                 1.3578,                0.91438,                 0.9117,                 0.9397,                0.49892,                 1.6375,                0.75723,                 1.4143,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.5063,                0.79244,                 1.3125,                0.90408,                0.90964,                0.92443,                0.50528,                 1.6153,                0.73178,                 1.4007,               0.000208,               0.000208,               0.000208
                     82,                 1.5659,                0.83061,                 1.3795,                0.91699,                0.92315,                0.93738,                0.51943,                 1.5966,                0.72521,                  1.383,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.5958,                 0.8204,                 1.3615,                0.92852,                0.90208,                0.91901,                0.44161,                 1.7978,                0.85661,                 1.5073,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.5488,                0.81771,                 1.3441,                0.91508,                0.92937,                0.94064,                 0.5026,                 1.6415,                0.74203,                 1.4225,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.5431,                 0.8143,                 1.3596,                0.91361,                0.92097,                0.92757,                0.50761,                 1.6577,                0.75525,                 1.4265,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.5789,                0.81808,                 1.3739,                0.92178,                0.92951,                0.93751,                0.51677,                 1.6325,                0.71878,                 1.4071,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.5806,                0.82128,                 1.3473,                 0.9327,                0.93118,                0.94102,                0.51014,                 1.6421,                0.72395,                 1.4062,              0.0001486,              0.0001486,              0.0001486
                     88,                   1.57,                0.80892,                 1.3212,                0.92277,                0.93475,                0.94847,                0.50208,                  1.629,                0.74296,                 1.4138,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.5367,                0.82142,                 1.3296,                0.94044,                0.91733,                0.93241,                0.50796,                 1.6283,                0.71961,                 1.3968,              0.0001288,              0.0001288,              0.0001288
                     90,                   1.52,                 0.7876,                 1.3143,                0.93754,                0.93825,                0.94505,                0.48972,                  1.651,                0.72225,                  1.427,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.7709,                 1.0889,                 1.5902,                0.93432,                0.94005,                 0.9617,                0.50879,                 1.6513,                0.71507,                 1.4127,               0.000109,               0.000109,               0.000109
                     92,                 1.5827,                0.85897,                 1.4804,                0.90343,                0.93903,                0.94366,                0.50095,                 1.7369,                0.75467,                 1.4407,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.5314,                0.82879,                 1.4225,                0.92792,                0.90154,                0.93718,                0.49861,                 1.6479,                0.73473,                 1.4213,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.5301,                0.81696,                 1.4314,                0.93095,                0.90478,                0.93799,                0.50446,                 1.6298,                0.72611,                 1.4033,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.5106,                 0.8114,                 1.4282,                0.93277,                0.90508,                0.93624,                0.49881,                 1.6307,                0.72993,                 1.4191,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.5104,                0.80257,                 1.4362,                0.91977,                0.91103,                0.92935,                0.51732,                 1.6409,                0.71921,                 1.4087,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.4921,                0.78529,                 1.3993,                 0.9444,                 0.8938,                 0.9295,                0.51287,                 1.6517,                0.72668,                 1.4213,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.4835,                0.77013,                 1.4045,                0.95752,                0.90621,                0.94157,                0.51424,                 1.6508,                0.72073,                  1.421,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                  1.494,                0.77868,                 1.4014,                0.95653,                 0.9111,                0.94322,                0.51765,                  1.639,                0.71716,                 1.4129,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.4902,                0.77641,                 1.3745,                0.95282,                0.91381,                0.94197,                0.50804,                 1.6455,                0.71611,                 1.4169,               1.99e-05,               1.99e-05,               1.99e-05
